LogReader Generated Export

PROPERTIES
Version=2
CLASS Version=5.14_005
Loaded Jars=ClassMCS Command Station(null-5.14-27),5.14.1P005.001_RegularPatch_202502(null-1.0-1.0_20250205140739),5.14.1P005.002_RegularPatch_202502(null-1.0-1.0_20250228145629),5.14.1P005.003_RegularPatch_202503(null-1.0-1.0_20250313103435),5.14.1P005.004_RegularPatch_202505(null-1.0-1.0_20250513173946),5.14.1P005.005_RegularPatch_202506(null-1.0-1.0_20250521100446),5.14.1P005.006_HotFix_202506(null-1.0-1.0_20250605142834),5.14.1P005.007_RegularPatch_202506(null-1.0-1.0_20250618092714),CLASS MCS 5.14 ServicePack(null-5.14 001-24),CLASS MCS 5.14 ServicePack(null-5.14 002-1),CLASS MCS 5.14 CommandStation(null-5.14 003-24),CLASS MCS 5.14 ServicePack(null-5.14 003-5),CLASS MCS 5.14 ServicePack(null-5.14 004-4),CLASS MCS 5.14 ServicePack(null-5.14 005-5),classlgmcs(null-1.0-1.0_20250217152123),ClassMCS(null-5.14-27),ClassMCS open source library(null-5.14-27),itext(null-1.4.6-UNKNOWN),JCommon(null-1.0.6-UNKNOWN),JFreeChart(null-1.0.3-UNKNOWN),Oracle JDBC(null-Oracle JDBC Driver version - 19.23.0.0.0-UNKNOWN),Oracle JDBC(null-Oracle JDBC Driver version - 19.0.0.0.0-UNKNOWN),
Time Zone=America/New_York
Export Type=Hexadecimal
Mark Count=0

MARKS

HEADERS
"Category","LevelID","SystemDate","DeviceID","SourceID","TrackingID","AsciiData","MessageName","MethodID","LogParserClassName","BinaryData","NumericalTimeStamp"
  "inDTName": "IN_DATA",
  "refDS": {
    "IN_DATA": [
      {
        "DURABLE_ID": "PTAJFP000124",
        "SHELF_ID": "",
        "TO_PORT_ID": "J1FCNV13301-CP0C01",
        "EVENT_TYPE_CODE": "B",
        "FROM_EQUIPMENT_ID": "J1FCNV13301",
        "USER_ID": "MCS",
        "FROM_PORT_ID": "J1FCNV13301-CP0C01",
        "DURABLE_STATUS_CODE": "INUSE",
        "TO_EQUIPMENT_ID": "J1FCNV13301",
        "COMMAND_CODE": "HPTAJFP0001240822101844",
        "PORT_ID": "J1FCNV13301-CP0C01",
        "TRANSPORT_END_CODE": "0",
        "MCS_TXN_ID": "1755872486232",
        "LOT_ID": "T1F007976",
        "ERROR_DETAIL": "",
        "ERROR_DURABLE_FLAG": "N",
        "EQUIPMENT_ID": "J1FCNV13301"
      }
    ]
  },
  "actID": "BR_MHS_ReportDurableMovingEvent",
  "outDTName": ""
}","info","SolaceClient.send","","","1755872486234"
"Debug","3","22-Aug-2025 10:21:26:230","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","MesServer_J1F:Primary:Active","[CVNT-B] ReportCarrierLocationUpdate >> Exception  ::Custom Property(SHELF) not found on Carrier (PTAJFP000124)","debug","ReportCarrierLocationUpdate.reportCarrierMovingLocationInfo","","","1755872486230"
"Debug","7","22-Aug-2025 10:21:26:229","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportCarrierLocationUpdate >> PTAJFP000124, +1.changed the current location : J1FCNV13301/J1FCNV13301-CP0C01","debug","ReportCarrierLocationUpdate.reportCarrierMovingLocationInfo","","","1755872486229"
"Debug","7","22-Aug-2025 10:21:26:229","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportCarrierLocationUpdate >> PTAJFP000124, -1.changed the current location : J1FCNV13301/J1FCNV13301-CP0C01","debug","ReportCarrierLocationUpdate.reportCarrierMovingLocationInfo","","","1755872486229"
"Debug","6","22-Aug-2025 10:21:26:229","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportCarrierLocationUpdate >> J1FCNV13301 // DEVICE_TYPE : CONVEYER","debug","ReportCarrierLocationUpdate.reportCarrierMovingLocationInfo","","","1755872486229"
